"","date","USD"
"1","2016-08-10","31.225"
"2","2016-08-09","31.455"
"3","2016-08-08","31.512"
"4","2016-08-05","31.570"
"5","2016-08-04","31.710"
"6","2016-08-03","31.750"
"7","2016-08-02","31.680"
"8","2016-08-01","31.640"
"9","2016-07-29","31.926"
"10","2016-07-28","31.955"
"11","2016-07-27","32.068"
"12","2016-07-26","32.106"
"13","2016-07-25","32.140"
"14","2016-07-22","32.070"
"15","2016-07-21","32.060"
"16","2016-07-20","32.051"
"17","2016-07-19","31.991"
"18","2016-07-18","32.024"
"19","2016-07-15","31.990"
"20","2016-07-14","32.073"
"21","2016-07-13","32.183"
"22","2016-07-12","32.220"
"23","2016-07-11","32.215"
"24","2016-07-07","32.306"
"25","2016-07-06","32.407"
"26","2016-07-05","32.282"
"27","2016-07-04","32.208"
"28","2016-07-01","32.218"
"29","2016-06-30","32.286"
"30","2016-06-29","32.343"
"31","2016-06-28","32.435"
"32","2016-06-27","32.533"
"33","2016-06-24","32.502"
"34","2016-06-23","32.190"
"35","2016-06-22","32.221"
"36","2016-06-21","32.258"
"37","2016-06-20","32.256"
"38","2016-06-17","32.385"
"39","2016-06-16","32.391"
"40","2016-06-15","32.441"
"41","2016-06-14","32.423"
"42","2016-06-13","32.435"
"43","2016-06-08","32.225"
"44","2016-06-07","32.339"
"45","2016-06-06","32.402"
"46","2016-06-04","32.506"
"47","2016-06-03","32.605"
"48","2016-06-02","32.612"
"49","2016-06-01","32.622"
"50","2016-05-31","32.630"
"51","2016-05-30","32.680"
"52","2016-05-27","32.528"
"53","2016-05-26","32.576"
"54","2016-05-25","32.652"
"55","2016-05-24","32.720"
"56","2016-05-23","32.656"
"57","2016-05-20","32.752"
"58","2016-05-19","32.802"
"59","2016-05-18","32.705"
"60","2016-05-17","32.630"
"61","2016-05-16","32.705"
"62","2016-05-13","32.626"
"63","2016-05-12","32.542"
"64","2016-05-11","32.528"
"65","2016-05-10","32.533"
"66","2016-05-09","32.417"
"67","2016-05-06","32.412"
"68","2016-05-05","32.377"
"69","2016-05-04","32.356"
"70","2016-05-03","32.205"
"71","2016-04-29","32.281"
"72","2016-04-28","32.279"
"73","2016-04-27","32.345"
"74","2016-04-26","32.363"
"75","2016-04-25","32.361"
"76","2016-04-22","32.330"
"77","2016-04-21","32.296"
"78","2016-04-20","32.248"
"79","2016-04-19","32.265"
"80","2016-04-18","32.402"
"81","2016-04-15","32.348"
"82","2016-04-14","32.436"
"83","2016-04-13","32.350"
"84","2016-04-12","32.382"
"85","2016-04-11","32.388"
"86","2016-04-08","32.450"
"87","2016-04-07","32.402"
"88","2016-04-06","32.442"
"89","2016-04-01","32.378"
"90","2016-03-31","32.282"
"91","2016-03-30","32.425"
"92","2016-03-29","32.695"
"93","2016-03-28","32.720"
"94","2016-03-25","32.766"
"95","2016-03-24","32.726"
"96","2016-03-23","32.625"
"97","2016-03-22","32.525"
"98","2016-03-21","32.545"
"99","2016-03-18","32.520"
"100","2016-03-17","32.706"
"101","2016-03-16","32.950"
"102","2016-03-15","32.918"
"103","2016-03-14","32.870"
"104","2016-03-11","32.950"
"105","2016-03-10","33.080"
"106","2016-03-09","33.225"
"107","2016-03-08","33.062"
"108","2016-03-07","33.010"
"109","2016-03-04","33.101"
"110","2016-03-03","33.179"
"111","2016-03-02","33.370"
"112","2016-03-01","33.436"
"113","2016-02-26","33.492"
"114","2016-02-25","33.496"
"115","2016-02-24","33.490"
"116","2016-02-23","33.485"
"117","2016-02-22","33.567"
"118","2016-02-19","33.561"
"119","2016-02-18","33.525"
"120","2016-02-17","33.505"
"121","2016-02-16","33.453"
"122","2016-02-15","33.421"
"123","2016-02-05","33.520"
"124","2016-02-04","33.608"
"125","2016-02-03","33.808"
"126","2016-02-02","33.680"
"127","2016-02-01","33.670"
"128","2016-01-30","33.650"
"129","2016-01-29","33.600"
"130","2016-01-28","33.743"
"131","2016-01-27","33.710"
"132","2016-01-26","33.725"
"133","2016-01-25","33.622"
"134","2016-01-22","33.705"
"135","2016-01-21","33.838"
"136","2016-01-20","33.826"
"137","2016-01-19","33.820"
"138","2016-01-18","33.818"
"139","2016-01-15","33.802"
"140","2016-01-14","33.742"
"141","2016-01-13","33.625"
"142","2016-01-12","33.667"
"143","2016-01-11","33.651"
"144","2016-01-08","33.501"
"145","2016-01-07","33.530"
"146","2016-01-06","33.453"
"147","2016-01-05","33.270"
"148","2016-01-04","33.236"
"149","2015-12-31","33.066"
"150","2015-12-30","33.050"
"151","2015-12-29","33.035"
"152","2015-12-28","33.020"
"153","2015-12-25","33.005"
"154","2015-12-24","33.002"
"155","2015-12-23","33.100"
"156","2015-12-22","33.090"
"157","2015-12-21","33.085"
"158","2015-12-18","33.117"
"159","2015-12-17","33.035"
"160","2015-12-16","32.950"
"161","2015-12-15","33.026"
"162","2015-12-14","33.066"
"163","2015-12-11","32.965"
"164","2015-12-10","33.015"
"165","2015-12-09","33.047"
"166","2015-12-08","33.037"
"167","2015-12-07","32.936"
"168","2015-12-04","32.822"
"169","2015-12-03","32.935"
"170","2015-12-02","32.903"
"171","2015-12-01","32.832"
"172","2015-11-30","32.830"
"173","2015-11-27","32.815"
"174","2015-11-26","32.701"
"175","2015-11-25","32.647"
"176","2015-11-24","32.746"
"177","2015-11-23","32.778"
"178","2015-11-20","32.730"
"179","2015-11-19","32.860"
"180","2015-11-18","33.007"
"181","2015-11-17","32.975"
"182","2015-11-16","33.022"
"183","2015-11-13","32.908"
"184","2015-11-12","32.900"
"185","2015-11-11","32.852"
"186","2015-11-10","32.850"
"187","2015-11-09","32.832"
"188","2015-11-06","32.730"
"189","2015-11-05","32.718"
"190","2015-11-04","32.595"
"191","2015-11-03","32.625"
"192","2015-11-02","32.721"
"193","2015-10-30","32.802"
"194","2015-10-29","32.856"
"195","2015-10-28","32.686"
"196","2015-10-27","32.676"
"197","2015-10-26","32.708"
"198","2015-10-23","32.513"
"199","2015-10-22","32.658"
"200","2015-10-21","32.558"
"201","2015-10-20","32.510"
"202","2015-10-19","32.418"
"203","2015-10-16","32.505"
"204","2015-10-15","32.457"
"205","2015-10-14","32.742"
"206","2015-10-13","32.739"
"207","2015-10-12","32.560"
"208","2015-10-08","32.850"
"209","2015-10-07","32.872"
"210","2015-10-06","32.937"
"211","2015-10-05","33.002"
"212","2015-10-02","33.156"
"213","2015-10-01","33.080"
"214","2015-09-30","33.128"
"215","2015-09-25","33.292"
"216","2015-09-24","33.260"
"217","2015-09-23","33.250"
"218","2015-09-22","32.971"
"219","2015-09-21","32.939"
"220","2015-09-18","32.663"
"221","2015-09-17","32.662"
"222","2015-09-16","32.762"
"223","2015-09-15","32.786"
"224","2015-09-14","32.720"
"225","2015-09-11","32.710"
"226","2015-09-10","32.856"
"227","2015-09-09","32.775"
"228","2015-09-08","33.003"
"229","2015-09-07","32.935"
"230","2015-09-04","32.833"
"231","2015-09-03","32.801"
"232","2015-09-02","32.762"
"233","2015-09-01","32.680"
"234","2015-08-31","32.810"
"235","2015-08-28","32.772"
"236","2015-08-27","32.770"
"237","2015-08-26","32.765"
"238","2015-08-25","32.879"
"239","2015-08-24","32.960"
"240","2015-08-21","32.876"
"241","2015-08-20","32.678"
"242","2015-08-19","32.668"
"243","2015-08-18","32.653"
"244","2015-08-17","32.621"
"245","2015-08-14","32.368"
"246","2015-08-13","32.366"
"247","2015-08-12","32.465"
"248","2015-08-11","32.080"
"249","2015-08-10","31.760"
"250","2015-08-07","31.770"
"251","2015-08-06","31.755"
"252","2015-08-05","31.750"
"253","2015-08-04","31.726"
"254","2015-08-03","31.705"
"255","2015-07-31","31.682"
"256","2015-07-30","31.601"
"257","2015-07-29","31.523"
"258","2015-07-28","31.575"
"259","2015-07-27","31.560"
"260","2015-07-24","31.530"
"261","2015-07-23","31.452"
"262","2015-07-22","31.352"
"263","2015-07-21","31.407"
"264","2015-07-20","31.342"
"265","2015-07-17","31.312"
"266","2015-07-16","31.310"
"267","2015-07-15","31.272"
"268","2015-07-14","31.302"
"269","2015-07-13","31.200"
"270","2015-07-09","31.230"
"271","2015-07-08","31.225"
"272","2015-07-07","31.162"
"273","2015-07-06","31.15"
"274","2015-07-03","31.12"
"275","2015-07-02","31.15"
"276","2015-07-01","31.100"
"277","2015-06-30","31.070"
"278","2015-06-29","31.178"
"279","2015-06-26","31.132"
"280","2015-06-25","31.052"
"281","2015-06-24","31.052"
"282","2015-06-23","31.002"
"283","2015-06-22","30.970"
"284","2015-06-18","31.062"
"285","2015-06-17","31.261"
"286","2015-06-16","31.266"
"287","2015-06-15","31.256"
"288","2015-06-12","31.226"
"289","2015-06-11","31.162"
"290","2015-06-10","31.156"
"291","2015-06-09","31.302"
"292","2015-06-08","31.275"
"293","2015-06-05","31.032"
"294","2015-06-04","31.062"
"295","2015-06-03","30.922"
"296","2015-06-02","31.002"
"297","2015-06-01","30.932"
"298","2015-05-29","30.871"
"299","2015-05-28","30.801"
"300","2015-05-27","30.725"
"301","2015-05-26","30.708"
"302","2015-05-25","30.571"
"303","2015-05-22","30.541"
"304","2015-05-21","30.650"
"305","2015-05-20","30.682"
"306","2015-05-19","30.640"
"307","2015-05-18","30.610"
"308","2015-05-15","30.612"
"309","2015-05-14","30.681"
"310","2015-05-13","30.780"
"311","2015-05-12","30.810"
"312","2015-05-11","30.780"
"313","2015-05-08","30.765"
"314","2015-05-07","30.803"
"315","2015-05-06","30.753"
"316","2015-05-05","30.781"
"317","2015-05-04","30.776"
"318","2015-04-30","30.752"
"319","2015-04-29","30.695"
"320","2015-04-28","30.831"
"321","2015-04-27","30.861"
"322","2015-04-24","31.051"
"323","2015-04-23","31.131"
"324","2015-04-22","31.113"
"325","2015-04-21","31.173"
"326","2015-04-20","31.102"
"327","2015-04-17","31.162"
"328","2015-04-16","31.253"
"329","2015-04-15","31.330"
"330","2015-04-14","31.312"
"331","2015-04-13","31.342"
"332","2015-04-10","31.240"
"333","2015-04-09","31.231"
"334","2015-04-08","31.226"
"335","2015-04-07","31.152"
"336","2015-04-02","31.303"
"337","2015-04-01","31.362"
"338","2015-03-31","31.401"
"339","2015-03-30","31.380"
"340","2015-03-27","31.375"
"341","2015-03-26","31.405"
"342","2015-03-25","31.401"
"343","2015-03-24","31.383"
"344","2015-03-23","31.503"
"345","2015-03-20","31.548"
"346","2015-03-19","31.502"
"347","2015-03-18","31.650"
"348","2015-03-17","31.667"
"349","2015-03-16","31.712"
"350","2015-03-13","31.710"
"351","2015-03-12","31.670"
"352","2015-03-11","31.666"
"353","2015-03-10","31.566"
"354","2015-03-09","31.520"
"355","2015-03-06","31.450"
"356","2015-03-05","31.507"
"357","2015-03-04","31.480"
"358","2015-03-03","31.508"
"359","2015-03-02","31.568"
"360","2015-02-26","31.503"
"361","2015-02-25","31.532"
"362","2015-02-24","31.688"
"363","2015-02-17","31.638"
"364","2015-02-16","31.600"
"365","2015-02-13","31.475"
"366","2015-02-12","31.630"
"367","2015-02-11","31.564"
"368","2015-02-10","31.502"
"369","2015-02-09","31.560"
"370","2015-02-06","31.490"
"371","2015-02-05","31.535"
"372","2015-02-04","31.473"
"373","2015-02-03","31.623"
"374","2015-02-02","31.685"
"375","2015-01-30","31.555"
"376","2015-01-29","31.512"
"377","2015-01-28","31.328"
"378","2015-01-27","31.325"
"379","2015-01-26","31.339"
"380","2015-01-23","31.432"
"381","2015-01-22","31.510"
"382","2015-01-21","31.553"
"383","2015-01-20","31.696"
"384","2015-01-19","31.552"
"385","2015-01-16","31.645"
"386","2015-01-15","31.786"
"387","2015-01-14","31.832"
"388","2015-01-13","31.862"
"389","2015-01-12","31.856"
"390","2015-01-09","31.936"
"391","2015-01-08","32.006"
"392","2015-01-07","32.001"
"393","2015-01-06","31.996"
"394","2015-01-05","32.005"
"395","2014-12-31","31.718"
"396","2014-12-30","31.766"
"397","2014-12-29","31.761"
"398","2014-12-27","31.750"
"399","2014-12-26","31.750"
"400","2014-12-25","31.753"
